gamma,retention_percent,mean_set_size,search_reduction_percent,empty_percent,decision_coverage_percent,conditional_retention_percent,conditional_false_exclusion_percent
0.64,99.812,4.92516,1.4968000000000004,0.0,100.0,99.812,0.1880000000000024
0.645,99.79400000000001,4.9233,1.5339999999999954,0.0,100.0,99.79400000000001,0.20599999999998886
0.65,99.79,4.92156,1.5687999999999924,0.0,100.0,99.79,0.20999999999999375
0.655,99.78200000000001,4.91828,1.6343999999999959,0.0,100.0,99.78200000000001,0.2179999999999893
0.66,99.766,4.91518,1.6963999999999935,0.0,100.0,99.766,0.23399999999999466
0.665,99.76,4.91256,1.7487999999999992,0.0,100.0,99.76,0.23999999999999488
0.67,99.738,4.9066,1.8679999999999986,0.0,100.0,99.738,0.26200000000000045
0.675,99.708,4.89534,2.0931999999999995,0.0,100.0,99.708,0.2920000000000016
0.68,99.67200000000001,4.88088,2.3823999999999934,0.0,100.0,99.67200000000001,0.32799999999998875
0.685,99.648,4.86626,2.6748000000000083,0.0,100.0,99.648,0.35200000000000387
0.69,99.606,4.84678,3.0644000000000027,0.0,100.0,99.606,0.39400000000000546
0.695,99.55000000000001,4.83128,3.3744000000000085,0.0,100.0,99.55000000000001,0.44999999999998863
0.7,99.49,4.81852,3.6295999999999924,0.0,100.0,99.49,0.5100000000000051
0.705,99.438,4.80762,3.8475999999999995,0.0,100.0,99.438,0.5619999999999976
0.71,99.39,4.79744,4.0512000000000015,0.0,100.0,99.39,0.6099999999999994
0.715,99.348,4.78952,4.209599999999991,0.0,100.0,99.348,0.652000000000001
0.72,99.302,4.77746,4.450800000000008,0.0,100.0,99.302,0.6979999999999933
0.725,99.244,4.75936,4.812799999999999,0.0,100.0,99.244,0.7560000000000002
0.73,99.196,4.74602,5.079600000000006,0.0,100.0,99.196,0.804000000000002
0.735,99.164,4.73468,5.3064,0.0,100.0,99.164,0.8359999999999985
0.74,99.114,4.72256,5.548800000000007,0.0,100.0,99.114,0.8859999999999957
0.745,99.07000000000001,4.71246,5.750799999999998,0.0,100.0,99.07000000000001,0.9299999999999926
0.75,99.008,4.7005,5.990000000000002,0.0,100.0,99.008,0.9920000000000044
0.755,98.924,4.6882,6.235999999999997,0.0,100.0,98.924,1.0759999999999934
0.76,98.858,4.6759,6.481999999999992,0.0,100.0,98.858,1.141999999999996
0.765,98.772,4.66306,6.738800000000005,0.002,99.998,98.77397547950959,1.2260245204904123
0.77,98.68599999999999,4.64966,7.006800000000002,0.002,99.998,98.68797375947518,1.3120262405248155
0.775,98.572,4.6382,7.2359999999999935,0.002,99.998,98.57397147942959,1.4260285205704122
0.78,98.47,4.62594,7.481200000000002,0.002,99.998,98.47196943938879,1.5280305606112137
0.785,98.36200000000001,4.61434,7.713199999999993,0.004,99.996,98.3659346373855,1.634065362614507
0.79,98.294,4.60296,7.940799999999992,0.016,99.984,98.30972955672908,1.6902704432709186
0.795,98.222,4.5906,8.187999999999995,0.02,99.98,98.24164832966594,1.758351670334065
0.8,98.116,4.57376,8.524799999999999,0.032,99.968,98.1474071702945,1.8525928297055003
0.805,98.002,4.5543,8.914000000000009,0.058,99.942,98.05887414700526,1.9411258529947446
0.81,97.872,4.5351,9.298000000000002,0.08,99.92,97.95036028823058,2.049639711769416
0.815,97.732,4.51574,9.685199999999998,0.13,99.87,97.8592169820767,2.1407830179232974
0.82,97.614,4.4907,10.185999999999993,0.186,99.81400000000001,97.79590037469693,2.2040996253030727
0.825,97.45,4.43428,11.314399999999996,0.254,99.746,97.69815330940588,2.301846690594118
0.83,97.248,4.37864,12.427200000000003,0.346,99.654,97.58564633632368,2.414353663676323
0.835,96.94800000000001,4.28638,14.272399999999994,0.464,99.536,97.39993570165568,2.6000642983443214
0.84,96.422,4.2051,15.898000000000003,0.592,99.408,96.99621760824078,3.0037823917592164
0.845,95.892,4.14594,17.081199999999992,0.7040000000000001,99.29599999999999,96.57186593619078,3.4281340638092246
0.85,95.492,4.10186,17.962799999999994,0.822,99.178,96.28344995866019,3.716550041339815
0.855,95.15599999999999,4.06334,18.733199999999997,0.9119999999999999,99.088,96.03181010818666,3.9681898918133385
0.86,94.602,4.00072,19.985599999999994,0.9979999999999999,99.002,95.55564534049817,4.444354659501826
0.865,94.14200000000001,3.96006,20.7988,1.084,98.916,95.17368272069231,4.826317279307688
0.87,93.728,3.92762,21.447599999999998,1.16,98.83999999999999,94.82800485633346,5.1719951436665355
0.875,93.342,3.8998,22.004,1.266,98.734,94.53886199282921,5.4611380071707885
0.88,92.958,3.87492,22.501600000000003,1.3559999999999999,98.644,94.23583796277524,5.764162037224764
0.885,92.58999999999999,3.84972,23.005599999999998,1.43,98.57000000000001,93.93324540935376,6.066754590646241
0.89,92.246,3.82144,23.5712,1.512,98.488,93.66217204126391,6.337827958736085
0.895,91.824,3.79172,24.165599999999994,1.606,98.394,93.32276358314532,6.677236416854683
0.9,91.262,3.75866,24.826800000000002,1.694,98.30600000000001,92.83461843631112,7.165381563688882
0.905,90.766,3.72864,25.4272,1.794,98.206,92.4240881412541,7.575911858745897
0.91,90.22,3.69396,26.1208,1.8980000000000001,98.102,91.96550529041203,8.034494709587975
0.915,89.53999999999999,3.6477,27.046000000000003,2.052,97.94800000000001,91.41585330991956,8.584146690080445
0.92,88.944,3.61306,27.7388,2.1839999999999997,97.816,90.92990921730596,9.070090782694038
0.925,88.398,3.58146,28.370800000000003,2.322,97.678,90.49939597452855,9.500604025471446
0.93,87.764,3.54882,29.0236,2.8320000000000003,97.16799999999999,90.3219166803886,9.678083319611403
0.935,87.21799999999999,3.52008,29.598399999999998,3.072,96.928,89.98225486959393,10.01774513040607
0.94,86.5,3.4847,30.306,3.582,96.418,89.71353896575329,10.286461034246713
0.945,85.868,3.45102,30.979599999999998,3.88,96.12,89.33416562630046,10.66583437369954
0.95,85.168,3.41288,31.742400000000004,4.122,95.878,88.82955422516115,11.170445774838853
0.955,84.304,3.36658,32.668400000000005,4.417999999999999,95.582,88.20070724613421,11.799292753865785
0.96,83.454,3.31778,33.644400000000005,4.714,95.286,87.58264592909767,12.417354070902334
0.965,82.502,3.26958,34.6084,4.99,95.00999999999999,86.83506999263236,13.164930007367644
0.97,81.512,3.21684,35.6632,5.2940000000000005,94.706,86.0684645112242,13.931535488775793
0.975,80.078,3.1471,37.058,6.326,93.674,85.48583384930717,14.51416615069283
0.98,78.134,3.04588,39.0824,8.574,91.426,85.46146610373417,14.538533896265832
0.985,75.926,2.8962,42.076,10.592,89.408,84.92081245526127,15.07918754473873
0.99,73.48400000000001,2.77828,44.4344,12.540000000000001,87.46000000000001,84.02012348502173,15.979876514978272
0.995,68.54400000000001,2.56894,48.621199999999995,17.32,82.67999999999999,82.90275761973875,17.09724238026125
1.0,59.516000000000005,2.32884,53.4232,27.386,72.614,81.96215605806043,18.03784394193957
